,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,best_step
387,h,1,2,c,h,h,h,c,c,[2]
388,0,1,h,c,4,5,6,7,8,[0]
389,0,1,c,3,h,5,6,7,h,[0]
390,c,h,2,3,4,c,h,h,8,"[2, 3, 4, 8]"
391,0,1,c,3,h,h,6,7,c,[3]
392,0,1,2,c,c,5,h,7,h,[5]
393,h,c,2,c,4,5,6,h,h,"[2, 4, 5, 6]"
394,0,c,2,3,h,5,6,7,8,"[0, 2, 3, 5, 6, 8]"
395,0,h,h,c,c,5,c,h,h,"[0, 5]"
396,0,1,h,c,4,h,c,h,c,[0]
397,0,h,h,h,c,c,c,h,c,[0]
398,0,1,2,3,h,5,6,7,8,"[0, 2, 6, 8]"
399,h,c,2,3,4,h,6,h,c,"[3, 4, 6]"
400,c,h,h,3,h,5,6,7,c,"[3, 5, 6, 7]"
401,h,1,2,3,c,5,h,7,c,[3]
402,0,c,2,3,4,5,6,h,8,"[0, 2, 3, 4, 5, 6, 8]"
403,0,1,h,h,4,h,c,7,c,[7]
404,0,h,c,3,h,c,6,c,h,[0]
405,0,h,2,c,h,5,6,c,8,[6]
406,0,h,2,h,c,c,6,h,8,"[2, 8]"
407,0,c,h,3,4,h,6,7,8,[8]
408,c,c,h,3,c,h,h,7,8,"[7, 8]"
409,h,1,c,3,4,5,6,h,8,[8]
410,0,h,2,c,c,h,c,h,h,"[0, 2]"
411,c,h,2,c,4,h,6,h,8,[6]
412,h,h,2,3,4,c,6,c,8,[2]
413,0,c,2,h,4,5,6,h,8,"[6, 8]"
414,c,1,2,3,4,h,h,7,c,[4]
415,0,h,h,c,4,5,6,h,c,"[0, 4, 5, 6]"
416,0,h,2,c,4,5,c,h,h,[0]
417,c,1,2,3,4,h,6,c,h,[2]
418,0,h,h,3,c,5,6,7,8,[0]
419,0,1,2,c,h,h,6,7,c,[6]
420,h,c,h,3,4,c,c,7,h,[4]
421,0,h,2,c,c,h,6,7,8,"[0, 6]"
422,c,c,2,3,4,h,h,h,8,[2]
423,0,c,c,h,h,5,h,h,c,"[0, 5]"
424,h,1,2,c,h,5,6,h,c,[1]
425,0,h,c,3,h,5,h,7,c,[5]
426,h,1,c,3,h,5,6,7,8,[8]
427,h,c,2,c,h,h,c,h,c,[2]
428,0,1,2,c,h,5,6,c,h,[0]
429,h,h,c,3,h,c,h,c,8,[8]
430,h,1,h,3,c,5,c,c,h,[1]
431,h,1,c,c,4,h,6,h,c,"[1, 4, 6]"
432,h,h,2,c,4,h,6,c,c,[6]
433,0,c,2,3,c,h,6,h,h,"[0, 2, 3, 6]"
434,0,1,h,3,4,5,6,7,8,[4]
435,0,1,2,3,4,c,h,7,8,[8]
436,0,c,2,3,h,h,6,c,h,"[0, 2, 3, 6]"
437,0,1,h,h,c,5,6,7,8,"[0, 1, 6, 7]"
438,h,h,c,c,c,h,6,7,h,[6]
